CountryName,CountryCode,RegionName,RegionCode,Date,H2_Testing.policy
Afghanistan,AFG,,,20200418,1
Afghanistan,AFG,,,20200419,1
Afghanistan,AFG,,,20200420,1
Afghanistan,AFG,,,20200421,1
Afghanistan,AFG,,,20200422,1
Afghanistan,AFG,,,20200423,1
Afghanistan,AFG,,,20200424,1
Afghanistan,AFG,,,20200425,1
Afghanistan,AFG,,,20200426,1
Afghanistan,AFG,,,20200427,1
Afghanistan,AFG,,,20200428,1
Afghanistan,AFG,,,20200429,1
Afghanistan,AFG,,,20200430,1
Afghanistan,AFG,,,20200501,1
Afghanistan,AFG,,,20200502,1
Afghanistan,AFG,,,20200503,1
Afghanistan,AFG,,,20200504,1
Afghanistan,AFG,,,20200505,1
Afghanistan,AFG,,,20200506,1
Afghanistan,AFG,,,20200507,1
Afghanistan,AFG,,,20200508,1
Afghanistan,AFG,,,20200509,1
Afghanistan,AFG,,,20200510,1
Afghanistan,AFG,,,20200511,1
Afghanistan,AFG,,,20200512,1
Afghanistan,AFG,,,20200513,1
Afghanistan,AFG,,,20200514,1
Afghanistan,AFG,,,20200515,1
Afghanistan,AFG,,,20200516,1
Afghanistan,AFG,,,20200517,1
Afghanistan,AFG,,,20200518,1
Afghanistan,AFG,,,20200519,1
Afghanistan,AFG,,,20200520,1
Afghanistan,AFG,,,20200521,1
Afghanistan,AFG,,,20200522,1
Afghanistan,AFG,,,20200523,1
Afghanistan,AFG,,,20200524,1
Afghanistan,AFG,,,20200525,1
Afghanistan,AFG,,,20200526,1
Afghanistan,AFG,,,20200527,1
Afghanistan,AFG,,,20200528,1
Afghanistan,AFG,,,20200529,1
Afghanistan,AFG,,,20200530,1
Afghanistan,AFG,,,20200531,1
Afghanistan,AFG,,,20200601,1
Afghanistan,AFG,,,20200602,1
Afghanistan,AFG,,,20200603,1
Afghanistan,AFG,,,20200604,1
Afghanistan,AFG,,,20200605,1
Afghanistan,AFG,,,20200606,1
Afghanistan,AFG,,,20200607,1
Afghanistan,AFG,,,20200608,1
Afghanistan,AFG,,,20200609,1
Afghanistan,AFG,,,20200610,1
Afghanistan,AFG,,,20200611,1
Afghanistan,AFG,,,20200612,1
Afghanistan,AFG,,,20200613,1
Afghanistan,AFG,,,20200614,1
Afghanistan,AFG,,,20200615,1
Afghanistan,AFG,,,20200616,1
Afghanistan,AFG,,,20200617,1
Afghanistan,AFG,,,20200618,1
Afghanistan,AFG,,,20200619,1
Afghanistan,AFG,,,20200620,1
Afghanistan,AFG,,,20200621,1
Afghanistan,AFG,,,20200622,1
Afghanistan,AFG,,,20200623,1
Afghanistan,AFG,,,20200624,1
Afghanistan,AFG,,,20200625,1
Afghanistan,AFG,,,20200626,1
Afghanistan,AFG,,,20200627,1
Afghanistan,AFG,,,20200628,1
Afghanistan,AFG,,,20200629,1
Afghanistan,AFG,,,20200630,1
Afghanistan,AFG,,,20200701,1
Afghanistan,AFG,,,20200702,1
Afghanistan,AFG,,,20200703,1
Afghanistan,AFG,,,20200704,1
